epoch;accuracy;loss;val_accuracy;val_loss
0;0.6451134085655212;0.7428767085075378;0.56982421875;3.519984722137451
1;0.7256730794906616;0.5429673790931702;0.69970703125;0.8077585101127625
2;0.746025025844574;0.49851009249687195;0.72021484375;0.5384640693664551
3;0.749629020690918;0.46564191579818726;0.763671875;0.4906652569770813
4;0.7604409456253052;0.4564180374145508;0.7587890625;0.49242669343948364
5;0.7678609490394592;0.44613125920295715;0.76904296875;0.4645429849624634
6;0.7824888825416565;0.4218335747718811;0.7763671875;0.4795849323272705
7;0.7907568216323853;0.4147869646549225;0.75927734375;0.4825112819671631
8;0.785244882106781;0.4205188453197479;0.77001953125;0.47410181164741516
9;0.7926648259162903;0.40251898765563965;0.74853515625;0.5081920623779297
10;0.7947848439216614;0.40077832341194153;0.76318359375;0.4830183684825897
